Title,Year,Review,Rating (/5)
Get Out,2017,Unsettling and brilliant. Loved the social commentary mixed with horror.,4.6
Avengers: Infinity War,2018,"I had a blast watching this. It’s chaotic in the best way, and that ending? Wild. Definitely one of the better Marvel ones.",3.9
La La Land,2016,"Romantic, stylish, and emotional. That ending messed me up a bit.",4.5
Black Panther,2018,"Such a cool world and the soundtrack was amazing. I was so into the characters, especially Shuri and Killmonger. Big favorite.",4.0
Mad Max: Fury Road,2015,Visually insane — in a good way. It’s basically one long car chase but somehow never boring. Charlize Theron was so good in this.,4.2
Avengers: Endgame,2019,So emotional. The kind of movie that makes 10 years of buildup feel totally worth it.,4.4
Arrival,2016,Thoughtful and haunting. Not your usual alien story — this one really sticks with you.,3.9
Guardians of the Galaxy,2014,"Honestly just fun from start to finish. Great music, great characters — it’s hard not to love this one.",4.4
Interstellar,2014,"Massive, emotional, and confusing in a good way. I didn’t get all of it but still loved the experience.",4.4
Star Wars: The Force Awakens,2015,"It felt nostalgic in a good way. Safe, maybe, but it brought back the magic and set up a lot of promise.",4.0
Thor: Ragnarok,2017,Totally flipped the tone of the series and it worked so well. Just a blast.,4.3
Gone Girl,2014,Completely messed with my head. Twisted in the best way — one of those thrillers you keep thinking about.,4.8
Dunkirk,2017,Barely any dialogue but so intense. You feel every moment of it.,3.8
Blade Runner 2049,2017,Stunning visuals and slow-burn storytelling. One of the most beautiful sci-fi films ever made.,4.5
Call Me by Your Name,2017,"Beautiful, quiet, and so emotionally real. That final scene just stays with you.",4.3
Spider-Man: Homecoming,2017,"Fresh take on Spidey that actually works. Tom Holland nails the high school vibe, and Keaton was a great villain.",4.4
Deadpool,2016,"Self-aware, violent, and genuinely funny. Not for everyone, but it worked for me.",3.9
The Wolf of Wall Street,2013,Insane energy start to finish. Leo’s best performance and Scorsese letting loose.,4.4
Star Wars: The Last Jedi,2017,"Super divisive, but I actually liked a lot of the risks it took. Messy but bold.",3.5
Django Unchained,2012,"Stylish, brutal, and wildly entertaining. Tarantino at his most unfiltered.",4.5
Guardians of the Galaxy Vol. 2,2017,"More emotional than the first, but not quite as tight. Still had great moments though.",4.1
The Avengers,2012,This was such a big moment for superhero movies. Seeing everyone come together was just awesome.,4.2
Captain America: Civil War,2016,Really solid. The airport fight scene lives rent-free in my head. Felt more like an Avengers film than Cap’s.,3.8
Inside Out,2015,Inventive and emotional in a way only Pixar pulls off. The concept is genius.,4.2
It,2017,"Creepy but also kind of fun? The kids were great. Not the scariest, but it had a cool vibe.",3.9
Ex Machina,2015,Creepy and smart. A slow burn that really gets under your skin in the best way.,4.5
The Silence of the Lambs,1991,"Masterclass in tension. Creepy, classy, and unforgettable.",5.0
Blade Runner,1982,Visually iconic and moody. You feel it more than you follow it — in a good way.,4.5
Wonder Woman,2017,A total power moment. The third act got messy but the No Man’s Land scene was everything.,4.2
The Social Network,2010,"Snappy, cold, and fascinating. Somehow made Facebook drama feel like life-or-death stakes.",4.8
